unique_number,id_no,name_en,date_inscribed,category,name_en
12,9,Simien National Park,1978,Natural,Africa
21,18,"Rock-Hewn Churches, Lalibela",1978,Cultural,Africa
29,26,Island of Gor_e,1978,Cultural,Africa
67,63,Virunga National Park,1979,Natural,Africa
22,19,"Fasil Ghebbi, Gondar Region",1979,Cultural,Africa
1639,39,Ngorongoro Conservation Area,1979,Mixed,Africa
38,34,"Forts and Castles, Volta, Greater Accra, Central and Western Regions",1979,Cultural,Africa
149,136,Garamba National Park,1980,Natural,Africa
150,137,Kahuzi-Biega National Park,1980,Natural,Africa
13,10,Lower Valley of the Awash,1980,Cultural,Africa
15,12,Tiya,1980,Cultural,Africa
18,15,Aksum,1980,Cultural,Africa
20,17,Lower Valley of the Omo,1980,Cultural,Africa
39,35,Asante Traditional Buildings,1980,Cultural,Africa
28,25,Djoudj National Bird Sanctuary,1981,Natural,Africa
171,153,Niokolo-Koba National Park,1981,Natural,Africa
159,144,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,1981,Cultural,Africa
174,156,Serengeti National Park,1981,Natural,Africa
173,155,Mount Nimba Strict Nature Reserve,1981,Natural,Africa
1924,199,Selous Game Reserve,1982,Natural,Africa
216,195,Ta• National Park,1982,Natural,Africa
205,185,Aldabra Atoll,1982,Natural,Africa
291,261,Vall_e de Mai Nature Reserve,1983,Natural,Africa
252,227,Como_ National Park,1983,Natural,Africa
314,280,Salonga National Park,1984,Natural,Africa
323,289,Lake Malawi National Park,1984,Natural,Africa
339,302,"Mana Pools National Park, Sapi and Chewore Safari Areas",1984,Natural,Africa
1560,323,Royal Palaces of Abomey,1985,Cultural,Africa
417,364,Great Zimbabwe National Monument,1986,Cultural,Africa
418,365,Khami Ruins National Monument,1986,Cultural,Africa
470,407,Dja Faunal Reserve,1987,Natural,Africa
466,403,Kilimanjaro National Park,1987,Natural,Africa
553,475,Manovo-Gounda St Floris National Park,1988,Natural,Africa
127,116,Old Towns of Djenn_,1988,Cultural,Africa
131,119,Timbuktu,1988,Cultural,Africa
602,516,Cliff of Bandiagara (Land of the Dogons),1989,Mixed,Africa
593,509,Mosi-oa-Tunya / Victoria Falls,1989,Natural,Africa
576,494,Tsingy de Bemaraha Strict Nature Reserve,1990,Natural,Africa
709,599,Island of Mozambique,1991,Cultural,Africa
678,573,Air and T_n_r_ Natural Reserves,1991,Natural,Africa
806,682,Bwindi Impenetrable National Park,1994,Natural,Africa
808,684,Rwenzori Mountains National Park,1994,Natural,Africa
849,718,Okapi Wildlife Reserve,1996,Natural,Africa
883,749,W National Park of Niger,1996,Natural,Africa
1902,800,Mount Kenya National Park/Natural Forest,1997,Natural,Africa
947,801,Lake Turkana National Parks,1997,Natural,Africa
1093,938,Sukur Cultural Landscape,1999,Cultural,Africa
1069,915,Fossil Hominid Sites of South Africa,1999,Cultural,Africa
1070,916,Robben Island,1999,Cultural,Africa
1067,914,iSimangaliso Wetland Park,1999,Natural,Africa
1561,956,Island of Saint-Louis,2000,Cultural,Africa
192,173,Stone Town of Zanzibar,2000,Cultural,Africa
1885,985,Maloti-Drakensberg Park,2000,Mixed,Africa
1191,1021,Tsodilo,2001,Cultural,Africa
1229,1055,Lamu Old Town,2001,Cultural,Africa
1192,1022,Tombs of Buganda Kings at Kasubi,2001,Cultural,Africa
1111,950,Royal Hill of Ambohimanga,2001,Cultural,Africa
897,761,Kunta Kinteh Island and Related Sites,2003,Cultural,Africa
2061,1099,Mapungubwe Cultural Landscape,2003,Cultural,Africa
345,306,Matobo Hills,2003,Cultural,Africa
