name,submitted,category,iso,id_no
Bagh-e Babur,02/11/2009,C,AF,5469
Band-E-Amir,08/09/2004,N,AF,1946
City of Herat,17/08/2004,C,AF,1927
City of Balkh (antique Bactria),17/08/2004,C,AF,1928
The Castle of Bashtova,22/05/2017,C,AL,6259
The Ancient City of Apollonia,03/04/2014,CN,AL,5885
Natural and Cultural Heritage of the Ohrid Region,05/09/2011,CN,AL,5626
Les tombes de la Basse Selca,11/10/1996,C,AL,909
L'amphithéâtre de Durres,11/10/1996,C,AL,910
Les oasis à foggaras et les ksour du Grand Erg Occidental,30/12/2002,C,DZ,1772
"Sites, lieux et itinéraires augustiniens du Maghreb central",30/12/2002,C,DZ,1773
Nedroma et les Trara,30/12/2002,C,DZ,1774
Oued souf,30/12/2002,C,DZ,1775
"Les Mausolées Royaux de Numidie, de la Maurétanie et les monuments funéraires pré-islamiques",30/12/2002,C,DZ,1776
Parc des Aurès avec les établissements oasiens des gorges du Rhoufi et d’El Kantara,30/12/2002,CN,DZ,1777
Ensemble historique de Santa Coloma,22/02/1999,C,AD,1268
Eglises romanes d'Andorre,22/02/1999,C,AD,1269
Corredor do Kwanza – Paysage Culturel,09/05/2017,CN,AO,6250
Site Archéologique de Tchitundu-Hulu,09/05/2017,C,AO,6251
"Cuito Cuanavale, Site de Libération et Independence",09/05/2017,C,AO,6252
Fortress of S. Miguel,22/11/1996,C,AO,921
Fortress of S. Pedro da Barra,22/11/1996,C,AO,922
Fortress of S. Francisco do Penedo,22/11/1996,C,AO,923
Fortress of Massanganu,22/11/1996,C,AO,924
Church of Nossa Senhora da Victoria,22/11/1996,C,AO,925
Fortress of Kambambe,22/11/1996,C,AO,926
Fortress of Muxima,22/11/1996,C,AO,927
Church of Nossa Senhora da Conceiçào da Muxima,22/11/1996,C,AO,928
Little Fort of Kikombo,22/11/1996,C,AO,929
Church of Nossa Senhora do Rosario,22/11/1996,C,AO,930
"Buenos Aires – La Plata: Two capitals of the Culture of Modernity, Eclecticism and Immigration",31/01/2018,C,AR,6296
Cueva de las Manos and associated sites of the Pinturas river basin,31/01/2018,C,AR,6297
City of Tigre and its rowing clubs,08/06/2017,C,AR,6288
"ESMA Site Museum - Former Clandestine Centre of Detention, Torture, and Extermination",25/04/2017,C,AR,6248
Moisés Ville,29/06/2015,C,AR,6066
"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co - Monte Hermoso",17/01/2014,CN,AR,5851
"La Payunia, Campos Volcánicos Llancanelo y Payún Matrú",18/04/2011,N,AR,5615
Sierra de las Quijadas National Park,24/02/2005,N,AR,2021
Valle Calchaquí,15/11/2001,C,AR,1582
The archaeological site of the city of Dvin,25/08/1995,C,AM,8
The basilica and archaeological site of Yererouk,25/08/1995,C,AM,10
The monastery of Noravank and the upper Amaghou Valley,25/08/1995,CN,AM,13
The monasteries of Tatev and Tatevi Anapat and the adjacent areas of the Vorotan Valley,25/08/1995,CN,AM,14
Budj Bim Cultural Landscape,20/01/2017,C,AU,6167
The Gondwana Rainforests of Australia World Heritage Area (extension to existing property),07/05/2010,N,AU,5541
Great Sandy World Heritage Area,04/01/2010,N,AU,5480
Großglockner High Alpine Road / Großglockner Hochalpenstraße,12/01/2016,C,AT,6074
Frontiers of the Roman Empire,09/02/2015,C,AT,6004
Great Spas of Europe,11/07/2014,C,AT,5930
Hall in Tyrol – The Mint,01/02/2013,C,AT,5801
"National Park ""Hohe Tauern""",11/02/2003,N,AT,1645
"Cultural Landscape of ""Innsbruck-Nordkette/Karwendel""",23/01/2002,C,AT,19
Iron Trail with Erzberg and the old town of Steyr,23/01/2002,C,AT,20
Bregenzerwald (Bregenz Forest),01/08/1994,C,AT,27
Abbey of Kremsmünster,01/08/1994,C,AT,28
Heiligenkreuz Abbey,01/08/1994,C,AT,30
Hochosterwitz Castle,01/08/1994,C,AT,31
Cathedral of Gurk,01/08/1994,C,AT,32
The Caspian Shore Defensive Constructions,24/10/2001,C,AZ,1573
Susha historical and architectural reserve,24/10/2001,C,AZ,1574
Ordubad historical and architectural reserve,24/10/2001,C,AZ,1575
"Sheki, the Khan's Palace",24/10/2001,C,AZ,1576
"Surakhany, Atashgyakh (Fire - worshippers, temple - museum at Surakhany)",30/09/1998,C,AZ,1172
The mausoleum of Nakhichevan (#),30/09/1998,C,AZ,1173
Hyrkan State Reservation,30/09/1998,N,AZ,1174
"""Binegadi"" 4th Period Fauna and Flora Deposit",30/09/1998,N,AZ,1175
"""Lok-Batan"" Mud Cone",30/09/1998,N,AZ,1176
"""Baku Stage"" Mountain",30/09/1998,N,AZ,1177
Historic Lighthouses of The Bahamas,09/11/2015,C,BS,6070
The Inagua National Park,09/11/2015,CN,BS,6071
Burial Ensembles of Dilmun and Tylos,29/05/2008,C,BH,5369
Hawar Islands Reserve,07/11/2001,N,BH,1579
Hamad Town Tumuli Moundfield,25/09/2001,C,BH,1568
Barbar Temple,25/09/2001,C,BH,1570
Saar Heritage Park,25/09/2001,C,BH,1571
Mahansthangarh and its Environs,17/02/1999,C,BD,1208
The Lalmai-Mainamati Group of monuments,17/02/1999,C,BD,1209
Lalbagh Fort,17/02/1999,C,BD,1210
Halud Vihara,17/02/1999,C,BD,1211
Jaggadala Vihara,17/02/1999,C,BD,1212
The Industrial Heritage of Barbados: The Story of Sugar and Rum,02/12/2014,C,BB,5942
The Scotland District of Barbados,18/01/2005,N,BB,1993
Augustow Canal,30/01/2004,C,BY,1892
Saviour Transfiguration Church and St. Sophia Cathedral in the town of Polatsk,30/01/2004,C,BY,1893
SS. Boris and Gleb (Kalozha) Church in the city of Hrodna,30/01/2004,C,BY,1895
"Edifices for Worship of Fortress Type in Belarus, Poland and Lithuania",30/01/2004,C,BY,1899
Worship wooden architecture (17th -18th centuries) in Polesye,30/01/2004,C,BY,1901
Les grandes villes d’eaux d’Europe,03/07/2014,C,BE,5932
Sites funéraires et mémoriels de la Première Guerre mondiale (Front Ouest),14/04/2014,C,BE,5886
Koloniën van Weldadigheid (agricultural pauper colonies),27/09/2013,C,BE,5841
Hoge Kempen Rural - Industrial Transition Landscape,25/05/2011,CN,BE,5623
Les passages de Bruxelles / Les Galeries Royales Saint-Hubert,08/04/2008,C,BE,5355
L’œuvre architecturale d’Henry van de Velde,08/04/2008,C,BE,5356
Le Palais de Justice de Bruxelles,08/04/2008,C,BE,5357
Le plateau des Hautes-Fagnes,08/04/2008,C,BE,5358
Le tronçon Bavay-Tongres de la chaussée romaine Boulogne-Cologne situe sur le territoire de la Région wallonne,08/04/2008,C,BE,5359
Le palais de Princes Evêques de Liège,08/04/2008,C,BE,5361
"Le champ de bataille de Waterloo, la fin de l’épopée napoléonienne",08/04/2008,C,BE,5362
"Le Panorama de la Bataille de Waterloo, exemple particulièrement significatif de « Phénomène de Panoramas »",08/04/2008,C,BE,5364
Les citadelles mosanes,08/04/2008,C,BE,5365
"Le noyau historique médiéval ou la 'Cuve' de Gand, et les deux abbayes qui sont à son origine",02/04/2002,C,BE,856
Noyau historique d'Antwerpen -Anvers- de l'Escaut aux anciens remparts de vers 1250,02/04/2002,C,BE,857
"Leuven/Louvain, bâtiments universitaires, l'héritage de six siècles au sein du centre historique",02/04/2002,C,BE,1712
Village souterrain d'Agongointo-Zoungoudo,19/06/1998,C,BJ,988
Site Lacustre de Ganvié,31/10/1996,C,BJ,869
La ville d'Ouidah : quartiers anciens et Route de l'Esclave,31/10/1996,C,BJ,870
La ville de Porto-Novo : quartiers anciens et Palais Royal (#),31/10/1996,C,BJ,871
La Réserve W du Niger et l'habitat vernaculaire du nord Bénin,31/10/1996,C,BJ,872
Ancient Ruin of Drukgyel Dzong,08/03/2012,C,BT,5694
"Dzongs: the centre of temporal and religious authorities (Punakha Dzong, Wangdue Phodrang Dzong, Paro Dzong, Trongsa Dzong and Dagana Dzong)",08/03/2012,C,BT,5695
Sacred Sites associated with Phajo Drugom Zhigpo and his descendants,08/03/2012,C,BT,5696
Tamzhing Monastery,08/03/2012,C,BT,5697
Royal Manas National Park (RMNP),08/03/2012,N,BT,5698
Jigme Dorji National Park (JDNP),08/03/2012,N,BT,5699
Bumdeling Wildlife Sanctuary,08/03/2012,N,BT,5700
Sakteng Wildlife Sanctuary (SWS),08/03/2012,CN,BT,5701
Sajama National Park,01/07/2003,CN,BO,1813
"Pulacayo, Industrial Heritage Site",01/07/2003,C,BO,1814
"Incallajta, the largest Inca site in the Kollasuyo",01/07/2003,C,BO,1815
Cal Orck'o: Footprints of time,01/07/2003,N,BO,1816
Sacred Titicaca Lake,01/07/2003,CN,BO,1817
Jewish Cemetery in Sarajevo,03/04/2018,C,BO,6334
Strict Nature Reserve - Primeval forest “Perućica”,23/05/2017,N,BA,6260
The natural and architectural ensemble of Blagaj,11/12/2007,CN,BA,5280
The natural and architectural ensemble of Blidinje,11/12/2007,CN,BA,5281
The natural and architectural ensemble of Stolac,11/12/2007,CN,BA,5282
The historic urban site of Počitelj,02/01/2007,C,BA,5092
The natural and architectural ensemble of Jajce,10/03/2006,CN,BA,2098
Vjetrenica cave,22/11/2004,N,BA,1975
Sarajevo - unique symbol of universal multiculture - continual open city (N.I.),01/09/1997,C,BA,906
Central Kalahari Game Reserve,27/10/2010,CN,BW,5555
Chobe Linyanti System,27/05/2010,N,BW,5556
Mapungubwe Cultural Landscape (Trans-boundary Listing),27/05/2010,C,BW,5557
Gcwihaba Caves,27/05/2010,N,BW,5558
Makgadikgadi Pans Landscape,27/05/2010,CN,BW,5559
Tswapong Hills Cultural Landscape,27/05/2010,C,BW,5560
Toutswemogala Hill Iron Age Settlement,21/07/1999,C,BW,1340
Parque Nacional dos Lençóis Maranhenses – Lençóis Maranhenses National Park,07/06/2017,N,BR,6261
Amazonia Theaters,30/01/2015,C,BR,5996
Brazilian Fortresses Ensemble,30/01/2015,C,BR,5997
Cedro Dam in the Quixadá Monoliths,30/01/2015,C,BR,5998
Geoglyphs of Acre,30/01/2015,C,BR,5999
Itacoatiaras of Ingá River,30/01/2015,C,BR,6000
Sítio Roberto Burle Marx,30/01/2015,C,BR,6001
"Cultural Landscape of Paranapiacaba: Village and railway systems in the Serra do Mar Mountain Range, São Paulo",27/02/2014,C,BR,5878
Ver-o-Peso,27/02/2014,C,BR,5879
Gold Route in Parati and its landscape,08/01/2004,C,BR,1859
Anavilhanas Ecological Station,16/09/1998,N,BR,1120
Serra do Divisor National Park,16/09/1998,N,BR,1121
Serra da Canastra National Park,16/09/1998,N,BR,1123
Cavernas do Peruaçu Federal Environmental Protection Area (APA) / Veredas Do Peruaçu State Park,16/09/1998,CN,BR,1124
Serra da Capivara National Park and Permanent Preservation Areas,16/09/1998,CN,BR,1125
"Canyon du Rio Peruaçu, Minas Gerais",11/03/1998,N,BR,969
"Eglise et Monastère de Sao Bento, Rio de Janeiro",06/09/1996,C,BR,36
"Palais de la Culture, ancien siège du Ministère de l'Education et de la Santé, Rio de Janeiro",06/09/1996,C,BR,37
Parc national du Pico da Neblina (Amazonas),06/09/1996,N,BR,39
Parc national de la Serra da Bocaina (São Paulo - Rio de Janeiro),06/09/1996,N,BR,40
Réserve biologique d'Atol das Rocas (Rio Grande do Norte),06/09/1996,N,BR,41
Station écologique de Taim (Rio Grande do Sul),06/09/1996,N,BR,42
Station écologique du Raso da Catarina (Bahia),06/09/1996,N,BR,43
"Bishop's Basilica and Late-Antique Mosaics of Philippopolis, Roman Province of Thrace",29/01/2018,C,BR,6287
Frontiers of the Roman Empire - The Danube Limes in Bulgaria,01/04/2016,C,BG,6126
"The royal necropolis of the Thracian city of Seuthopolis – a serial site, extension of the Kazanlak Thracian tomb",26/02/2016,C,BG,6085
Vratsa Karst Nature Reserve,10/10/2011,N,BG,5639
Rocks of Belogradchik,10/10/2011,N,BG,5640
Central Balkan National Park,10/10/2011,N,BG,5641
Pobiti Kamani Natural Monument,10/10/2011,N,BG,5642
The Ancient Plovdiv,14/09/2004,C,BG,1948
Thracian Tomb with Wall Paintings beside Alexandrovo village,14/09/2004,C,BG,1949
Two neolithic dwellings with their interior and household furnishings and utensils completely preserved,01/10/1984,C,BG,44
The Magoura cave with drawings from the bronze age,01/10/1984,C,BG,45
The ancient town of Nicopolis ad Istrum,01/10/1984,C,BG,47
The late ancient tomb of Silistra,01/10/1984,C,BG,48
The Bachkovo Monastery,01/10/1984,C,BG,49
The town of Melnik and the Rozhen Monastery,01/10/1984,C,BG,50
The Roussensky Lom National Park,01/10/1984,N,BG,54
Cour royale de Tiébélé,24/01/2012,C,BF,5653
"Les sites de métallurgie ancienne de réduction du fer dans les espaces boose et bwi (Ronguin, Tiwega, Yamane, Kindbo, Bekuy, Douroula)",24/01/2012,C,BF,5654
La réserve de Biosphère de la Mare aux Hippopotames de Bala,24/01/2012,N,BF,5655
"Les gravures rupestres du Sahel burkinabè : Pobé-Mengao, Arbinda et Markoye",24/01/2012,C,BF,5657
"Sya, centre historique de Bobo-Dioulasso",24/01/2012,C,BF,5658
Les nécropoles de Bourzanga,09/04/1996,C,BF,56
La résidence royale du Burundi : Le cas de Gishora,09/05/2007,C,BI,5141
Le rugo traditionnel du Mugamba,09/05/2007,C,BI,5142
"Les paysages naturels sacrés de Muramvya, de Mpotsa et de Nkiko-Mugamba",09/05/2007,CN,BI,5143
"Gasumo, la source la plus méridionale du Nil",09/05/2007,N,BI,5144
"Rwihinda, lac aux oiseaux",09/05/2007,N,BI,5145
Le lac Tanganyika,09/05/2007,N,BI,5146
La réserve naturelle de la Rusizi,09/05/2007,N,BI,5147
Le parc national de la Kibira,09/05/2007,N,BI,5148
Le parc national de la Ruvubu,09/05/2007,N,BI,5149
Les chutes de la Karera et la faille de Nyakazu,09/05/2007,CN,BI,5150
Centre historique de Nova Sintra,15/03/2016,C,CV,6099
Parc Naturel de Fogo – Chã das Caldeiras,15/03/2016,N,CV,6100
Complexe d’aires Protégées de l’île de Santa Luzia et des Ilots Branco et Raso,15/03/2016,N,CV,6101
Camp de concentration du Tarrafal,15/03/2016,C,CV,6102
Centre historique de Praia,15/03/2016,C,CV,6103
Centre historique de São Filipe,15/03/2016,C,CV,6104
"Parc Naturel Cova, Paúl et Ribeira da Torre",15/03/2016,CN,CV,6105
Salines de Pedra de Lume,15/03/2016,CN,CV,6106
Le site de Koh Ker,01/09/1992,C,KH,62
Site des Kulen,01/09/1992,C,KH,63
Site d'Angkor Borei et Phnom Da,01/09/1992,C,KH,64
Site d'Oudong,01/09/1992,C,KH,65
Ensemble de Beng Mealea,01/09/1992,C,KH,66
Ensemble du Prah Khan de Kompong Svay,01/09/1992,C,KH,67
Ensemble de Banteay Chmar,01/09/1992,C,KH,68
Ensemble de Banteay Prei Nokor,01/09/1992,C,KH,69
Complexe des Parcs Nationaux de Boumba Bek et de Nki,02/02/2018,N,CM,6308
Parc National de Bouba Ndjidda,02/02/2018,N,CM,6310
Parc National de Campo-Ma'an,02/02/2018,N,CM,6312
